25964
150
5,28,37
42,6,1
27,6,1
28,40,43
22,24,13
25,23,24
9,47,36
17,44,44
9,26,35
41,15,33
43,28,25
26,15,13
5,45,37
20,31,41
46,49,28
7,27,1
29,13,7
20,6,28
26,37,33
43,34,29
15,35,40
18,35,13
18,46,9
1,21,28
36,39,17
45,21,45
17,2,49
35,13,3
26,23,22
47,49,27
30,12,12
9,5,45
2,29,15
16,38,31
41,29,41
29,34,17
12,31,17
37,26,32
30,29,23
38,41,12
40,21,46
32,21,10
16,27,35
21,43,41
31,2,14
18,44,34
11,47,38
6,36,19
10,42,35
30,28,25
23,14,37
3,25,18
35,9,8
32,13,7
32,40,37
26,7,25
19,12,35
39,27,44
24,35,34
28,22,28
24,36,48
10,48,30
4,29,27
45,33,35
26,28,34
32,24,45
31,34,36
11,12,17
40,34,36
43,28,40
34,8,37
30,9,27
8,22,42
8,22,27
48,23,29
49,13,49
10,42,11
38,46,37
42,13,25
32,19,15
44,11,1
36,12,25
48,45,20
8,24,2
4,24,13
9,13,38
37,41,21
36,33,36
29,45,11
49,38,45
2,25,4
28,13,12
27,12,12
4,2,18
30,3,18
10,35,23
25,33,1
37,45,28
43,8,27
14,8,17
15,48,8
24,6,48
48,25,11
1,32,2
26,34,40
4,7,31
18,20,10
37,25,5
45,15,30
26,34,5
35,13,5
45,39,3
10,6,46
20,11,10
12,24,2
48,11,12
38,40,2
45,45,37
7,27,24
3,29,41
18,23,41
7,16,19
47,31,44
37,43,2
35,48,9
1,25,2
4,46,5
19,37,44
4,39,17
17,38,12
29,8,26
6,2,38
19,6,8
32,2,29
17,1,46
49,11,47
28,7,2
23,48,33
37,49,35
47,3,27
3,30,43
33,9,36
26,30,46
21,31,20
43,22,44
25,3,37
47,4,29
20,39,32
10,7,9
42,18,3
